imprv_val_share,P_A_TOTAL,P_A_LAND
0.8098878695208971,112000,7400
0.8610885557427315,111400,6500
0.8717948717948718,38200,4000
0.8226758165223219,150050,26200
0.8894009216589862,148000,20600
0.896049896049896,136000,10200
0.8874433228698632,150450,19100
0.8432205281532494,167050,25200
0.9164802386278896,131300,11100
0.912,139000,11900
0.9119047619047619,143600,11300
0.8569379698631037,125050,19000
0.906547619047619,124700,13800
0.9102902374670184,119800,10400
0.858527022980762,127100,17300
0.9324596774193549,101800,6700
0.9215172980186839,89700,6400
0.9278688524590164,108500,6900
0.9276859504132231,100700,6800
0.9094790777113578,122200,10600
0.9235668789808917,114000,8200
0.9214659685863874,121100,9300
0.9242424242424242,123300,9000
0.9212278222640917,100850,7800
0.9271523178807947,94100,6800
0.9323638101380052,89300,6000
0.9369114877589454,91700,5500
0.9302967444540478,101450,6800
0.9396984924623115,85800,5000
0.9366754617414248,80100,4800
0.9371212121212121,84700,5200
0.9426751592356688,88700,5200
0.9328221365561686,91850,6100
0.9310344827586207,91100,6100
0.9267054263565891,92500,6600
0.9301181102362205,115200,7200
0.910958904109589,109100,13000
0.8810045511336562,125850,14500
0.90903302650241,142750,13400
0.9188562596599691,144100,11900
0.8803389984667758,125500,14500
0.932972972972973,115300,7100
0.9489710968186157,130400,6500
0.9461305007587253,119000,6200
0.9510488233667727,109300,5200
0.9424538545059717,93900,5200
0.9401555954518253,92700,5300
0.9495443632320939,89250,4500
0.9553488372093023,103800,4600
0.934640522875817,74300,3100
0.9591836734693877,77500,3000
0.9623588456712673,84900,3100
0.9550051889280184,68900,3100
0.952046783625731,100200,4600
0.952146375791696,140250,6800
0.9540094339622641,144100,7000
0.9350730418146148,123600,7700
0.857812808052266,136000,19100
0.8577317843446876,135300,19500
0.866481223922114,138200,19200
0.849703386752735,150500,21000
0.8418326443812878,169350,23900
0.8613091380427739,160400,21700
0.8888888888888888,171300,21800
0.9354575163398693,127600,6200
0.9532846715328467,127350,6000
0.9520888674233277,126700,5900
0.9587846203975237,95450,3400
0.9572991452991453,65200,2600
0.9548611111111112,51400,2200
0.9590163934426229,64100,2500
0.9505813953488372,48300,2200
0.9566236811254396,62400,2700
0.9554234769687965,62300,2600
0.9587155963302753,69300,2700
0.9588815789473685,72300,2700
0.8863346104725415,138500,14400
0.8578592144191841,163100,22300
0.8084069264069265,251500,44450
0.7909830404659249,362000,81450
0.807744667977613,350000,72700
0.8599021875899827,340500,53800
0.8679245283018868,244600,30600
0.8124459155417099,290350,57200
0.8194842406876791,156100,25200
0.8275154004106776,142600,25000
0.9511811023622048,78300,3300
0.9436805942432683,76700,3100
0.9314079422382672,65400,3100
0.9433475977436296,40150,2200
0.9474996718729491,42050,2100
0.9535864978902954,47800,2000
0.9476190476190476,43100,2100
0.9543163613627146,49300,2200
0.9513719248895798,56800,2600
0.9628490046926614,85950,3000
0.9472743521000894,99600,5400
0.9411472674898544,128200,6100
0.9109159347553325,161400,14300
0.9330699186640599,185100,14000
0.939906103286385,187700,14000
0.9615806805708014,84300,3000
0.956386292834891,64400,2400
0.9572318007662834,66750,2700
0.9565792657110022,51650,2100
0.9371428571428572,34800,2000
0.960552268244576,57200,2000
0.9410526315789474,41800,2200
0.9478672985781991,44600,2100
0.8787470391243977,90950,5700
0.862600123228589,147900,12000
0.8469702300299766,114300,15300
0.8606442577030813,165600,22500
0.907677670521545,242550,22200
0.9400163844163898,216200,7800
0.909509844993716,227000,29700
0.8490196078431372,274200,39200
0.8673640167364016,227000,30400
0.8728217120873327,232300,22000
0.9123976962715975,232200,18700
0.8327928840796038,168250,19900
0.9704347826086956,57100,1300
0.9249061326658323,31200,2100
0.966542750929368,67000,2200
0.9657853810264385,66400,2300
0.9656357388316151,65700,2200
0.9562624254473161,53500,2200
0.9664974532962595,87100,2800
0.9581818181818181,95700,3600
0.955007531503729,136350,5800
0.8754333612523788,193250,12700
0.9174898314933179,144000,11800
0.9102345033980368,152650,13200
0.9017825533485488,153550,15850
0.9252601702932829,133900,9500
0.9282930631332814,125500,9000
-1.0,0,0
0.8739900997777817,166250,8800
0.9597069597069597,88500,3300
0.9718157098774862,100200,2700
0.9588194921070693,198000,5000
0.9738539056423194,149500,3500
0.9531465077673766,80400,2550
0.9538077795533849,56600,2300
0.9580209895052474,68600,2700
0.9173913043478261,25800,1900
0.0,50300,38100
0.8705102228771413,447800,39700
0.9657817109144543,200000,5800
-1.0,0,0
0.8306702432045779,26700,2200
0.9586538461538462,116800,2650
0.9611992945326279,81100,2300
0.9074835597411055,76200,2500
-1.0,0,0
-1.0,0,0
0.963916083916084,284000,7100
0.9561240006193941,262200,8700
0.3291401336094073,99750,9550
0.9649805447470817,116500,3000
0.9307432432432432,73000,3600
0.9412117364931585,72150,4100
0.9442125172409084,103650,5500
0.9404106922007622,120800,7300
0.9316081330868762,110900,7400
0.9315210114793941,108900,7300
0.940334588139079,109400,6200
0.9396267837541163,87400,5200
0.9412393162393162,78700,4600
0.9483568075117371,81200,4000
0.9542414792592425,75650,3000
0.9332552693208431,83800,5700
0.9327838951563872,82450,5500
0.9357050534780728,83950,5300
0.9372105480647087,108900,7200
0.9329897044355158,126450,8100
0.9331060836021454,130400,8600
0.935459940652819,117700,7800
0.9373673036093418,86300,5500
0.9371933267909716,95900,6000
0.944547134935305,107500,6000
0.9459939093697056,82450,4800
0.9354540179736064,116950,6500
0.946524064171123,149900,7500
0.936197094125079,149400,8800
0.9467187130352496,146900,7500
0.8378537735849056,188300,29900
0.8297450021046848,210100,33000
0.9368337937608039,162600,10000
0.9410815173527038,153800,8900
0.8207934336525308,146600,27100
0.937007874015748,111100,6000
0.9421405755255192,121900,6400
0.9446494464944649,113000,6000
0.9292516861290689,127650,8000
0.8508038014858776,158250,23300
