imprv_val_share,P_A_TOTAL,P_A_LAND
-1.0,0,0
0.8579525163876297,94100,6500
0.8095238095238095,111450,24450
0.8434596140100071,132000,21300
0.8999102315847832,109650,11100
0.8936799497561123,116000,11800
0.8314711359404097,105500,19000
0.8837209302325582,106900,14000
0.9378924512277174,97400,4900
0.888450289553381,102900,11800
0.9092261904761905,75300,6700
0.8964539007092198,67600,6400
0.9002849002849003,74000,6900
0.9099633335437578,78800,6800
0.884393063583815,98100,10600
0.9102735420462674,96700,8200
0.9014830508474576,95300,9300
0.9011494252873563,96150,9000
0.8951707891637221,76400,7900
0.9056237101311475,72700,6800
0.9122446032777416,67500,6000
0.917910447761194,69200,5500
0.8932068428654498,65150,6900
0.9118151112050169,58700,5000
0.9081632653061225,55000,4800
0.9126365054602185,62300,5200
0.9205723225343849,64300,5200
0.9033280507131537,62850,6100
0.9050649209163208,65750,6100
0.9018131025416302,68600,6600
0.9129901960784313,87300,7200
0.9151162790697674,84300,7200
0.9139554987803736,96900,8100
0.9106321723171248,121100,10250
0.9123430466714049,121800,10300
0.9135538954108858,97500,8100
0.9172413793103448,87000,7000
0.9303835220653338,95950,6500
0.9285714285714286,92800,6200
0.9237349103767833,71100,5200
0.9197389285309774,66600,5200
0.9163934426229509,66500,5300
0.9189665017129807,56500,4500
0.9390862944162437,76500,4600
0.9013487301010951,36050,3200
0.9293361884368309,43500,3000
0.936491673172001,49500,3100
0.920265780730897,38600,3100
0.926984126984127,63400,4600
0.9354662243241335,103950,6800
0.9399563318777293,111200,7000
0.9144647202255145,96450,7700
0.8252069917203312,110700,19100
0.8302864439511888,113550,19500
0.8407126485312745,115500,19200
0.821123550702908,127150,21000
0.81696053736356,146200,23900
0.840967365967366,140000,21700
0.8740112994350282,148700,21800
0.9330406147091108,97200,6200
0.929845422116528,84600,6000
0.9345142663486229,88100,5900
0.9333815726000965,60500,3400
0.9310344827586207,42100,2600
0.9012875536480687,23200,2200
0.9334862385321101,39600,2500
0.9029126213592233,23000,2200
0.9160399585335972,32600,2700
0.9230769230769231,35800,2600
0.9319920602802028,39950,2600
0.9235300742434874,36850,2700
0.9366725070128399,91300,5700
0.9311814859926918,121300,7500
0.7666925868325558,206300,45500
0.7758623956830544,334650,79000
0.7852237745678428,312300,68700
0.86810076422304,308900,47300
0.8407079646017699,192700,28600
0.7776481265396085,244050,54400
0.8052123710374387,110000,21600
0.7876924761645714,97300,21600
0.9230769230769231,38600,2500
0.9265658747300216,38100,2600
0.9135812692915757,31750,2700
0.8907712621725496,20150,2200
0.8910891089108911,21300,2100
0.9,22700,2000
0.894927536231884,21300,2000
0.8995433789954338,22800,2200
0.8938938016867273,24900,2500
0.9344787451594657,48150,3000
0.9203821656050956,59200,5400
0.9272886026466725,84500,6000
0.9448621553884712,124400,6800
0.9529411764705882,146350,6800
0.9518665092364406,142400,7000
0.9329140461215933,46800,3000
0.9039145907473309,27700,2300
0.9111842105263158,32600,2700
0.8985507246376812,21800,2000
0.8778429556447463,17000,2000
0.9020069137699251,25450,2000
0.8809523809523809,19200,2100
0.8848167539267016,20300,2100
0.9369627507163324,47600,2700
0.8360764088284052,82350,9800
0.7665371068335801,63600,10700
0.7752928647497338,96300,21600
0.8415373244641537,173300,23200
0.9448574969021065,222700,7400
0.896966979333047,168850,18200
0.8104373493202798,208800,38000
0.7828744852388204,163200,31700
0.856995353639649,225100,27700
0.9118341782381897,189950,12300
0.791209055876686,44300,2700
0.9649122807017544,45300,1500
0.84,15100,2000
0.8894009216589862,18500,2000
0.9368824334801471,46000,2400
0.9192372152013408,27350,2200
0.9237536656891495,30500,2200
0.9320753642266749,45450,2800
0.9300567107750473,61200,3600
0.9374325782092773,97300,5800
0.9175783052800969,171050,12700
0.8979217603911981,116900,11800
0.8918495297805643,126700,13200
0.8833398347202959,129600,15900
0.9067594648134615,105300,9400
0.9095828229629944,100450,9000
-1.0,0,0
0.8122795129077143,127400,7200
0.9390562907063944,59450,3300
0.9548890255492817,62100,2600
0.9394525090140389,145100,5000
0.9669499527856469,114300,3500
0.9209924713445841,44650,2500
0.9197927975017759,30900,2300
0.9470588235294117,54800,2700
0.8806818181818182,19100,1800
0.29555110913492416,88600,23100
0.951317851003043,235450,10700
0.8861656692064412,174100,8000
-1.0,0,0
0.7880249716231555,15900,2000
0.9358178053830227,55400,2500
0.9253246753246753,39000,2300
0.8970501474926253,47900,2500
0.0975609756097561,23600,2300
-1.0,0,0
0.9196399729302955,290350,11700
0.9333333333333333,196900,7500
0.6153984417243407,56050,9600
0.9275,51500,3200
0.8997555012224939,40100,3800
0.8980891719745223,41000,4100
0.9135686656260185,64400,5350
0.9145752761377964,82800,7300
0.9053549190535491,80000,7400
0.906832298136646,80400,7300
0.9111769059955589,71200,6200
0.8975913146139896,52300,5200
0.8981670061099797,44600,4600
0.907021565193503,44150,4100
0.9146757679180887,40500,3000
0.8980891719745223,54600,5700
0.8988760103277953,53900,5500
0.9012345679012346,55300,5300
0.9132991178274882,78400,7200
0.9102902374670184,93600,8100
0.9117382087970323,98500,8600
0.9123218845235153,87650,7800
0.9048016535495668,57050,5400
0.9029754204398448,60800,6000
0.9146666666666666,68700,6000
0.9128530876262273,49450,4800
0.8906643465466995,67650,6500
0.9242424242424242,103200,7500
0.9171166385282645,99150,8000
0.8917881811204912,149400,14700
0.889763779527559,163100,15700
0.9182389937106918,123700,10000
0.9213200829159542,113450,8850
0.8485477178423236,119200,17700
0.9049826187717266,73400,6000
0.9159663865546218,83300,6400
0.9168674698795181,75950,6000
0.9059107358262968,95100,8000
0.8291814946619217,136800,23100
0.8355965032774243,148000,23700
0.8077802084118109,133500,25200
0.8228231601953477,134000,23000
0.7576547231270359,151900,37500
0.7531565656565656,154600,39400
0.7557995673736415,145500,35900
0.7488372093023256,154700,38500
0.801917422200441,128800,26800
0.8050137540586877,127750,24800
0.8628158844765343,136500,18600
0.8900117831893166,116600,13200
0.8872,116500,13700
0.9059745241481454,123100,11500
0.9112351822632196,110650,10000
0.9095952882094457,109850,10100
0.8726483357452967,118300,14800
0.8681818181818182,118200,15500
0.8920454545454546,143100,14700
0.8475037964205612,123300,18300
0.8577044025157232,131800,18100
0.8533801580333626,114500,16400
0.8258620689655173,121000,20000
0.8387096774193549,140500,23500
0.8370750481077613,145700,23300
0.8332024575628907,156500,24200
0.8565531167990185,146300,21000
0.8524247491638796,142400,22500
0.8028277948925773,145700,28200
-0.16248297334111694,256950,83500
0.8794893879237302,53450,6500
0.8994475138121547,905000,91000
0.8700614574187884,113900,14800
0.7586504930109081,203050,49000
