imprv_val_share,P_A_TOTAL,P_A_LAND
0.0,2000,2000
0.8777742465904852,111700,6500
0.8591549295774648,33400,4000
0.8321070234113712,155900,26400
0.8892821031344793,148000,20600
0.896049896049896,127400,10300
0.8866279069767442,146100,19100
0.8436018957345972,167700,25200
0.9137017411052233,126900,11100
0.9086792452830189,135200,11900
0.911169744942832,143000,11300
0.8579970104633782,125300,19000
0.906547619047619,124600,13900
0.9089529590288316,119800,10500
0.8586421216637312,128000,17300
0.9283792823863408,95750,6700
0.9175329409223458,85350,6400
0.9256900212314225,98300,6900
0.9272548182537776,99700,6800
0.909248055315471,122550,10600
0.9247159286077411,116700,8200
0.9205087440381559,121200,9300
0.9242424242424242,123300,9000
0.9201154956689124,100100,7900
0.925845147219193,92400,6800
0.9309319738589501,86950,6000
0.9354837544148067,89400,5500
0.9289498545012052,100050,6900
0.9364005263171581,81400,5000
0.9329752922881991,75600,4800
0.9322916666666666,79500,5200
0.9381336405529954,82700,5200
0.9263762855414398,82950,6100
0.928455463509313,86700,6100
0.9228571428571428,87000,6600
0.9297170889965556,114950,7200
0.9100395457157547,108650,13000
0.8809332260659695,125450,14500
0.9074331432512328,142350,13400
0.918768281642548,143950,12000
0.880184331797235,125100,14500
0.932972972972973,115300,7100
0.9497247884111413,131550,6500
0.9494423791821561,126200,6200
0.9471501744615755,103300,5200
0.94010258012445,89700,5200
0.9376693766937669,88900,5300
0.9439487839766456,81100,4500
0.9522175908579993,97600,4600
0.934640522875817,67800,3100
0.9534246575342465,67700,3000
0.9557149444131359,72050,3100
0.9512786487095374,63650,3100
0.9470899470899471,87900,4600
0.9517730496453901,139450,6800
0.95457373988799,148000,7000
0.9345199876258894,123250,7700
0.8600160901045857,138500,19100
0.8601165695253955,138300,19500
0.8682430076027063,139150,19200
0.849703386752735,151150,21000
0.841549863914266,168550,23900
0.8611456082173893,160450,21700
0.8926767676767676,173500,21800
0.9462611487933702,127850,6200
0.9529109589041096,126700,6000
0.9503329736281929,122750,5900
0.9522870461299086,84800,3400
0.9509954058192955,57000,2600
0.9413147742387699,39600,2200
0.9517625231910947,54200,2500
0.937888198757764,37300,2200
0.9423076923076923,48000,2700
0.9433106575963719,48600,2600
0.9472179229221482,52900,2700
0.9493210315578737,56200,2700
0.8846153846153846,133500,14400
0.8555611474584801,162000,22300
0.8136094674556213,260000,44900
0.8003269977518904,379800,79000
0.8130030959752322,358900,71900
0.8800074380719543,357350,47800
0.8797814207650273,251500,28600
0.8200798280626344,296400,54200
0.8541370373245492,155000,21600
0.8408893287149211,140300,21600
0.9462517680339463,68200,3400
0.937383817365634,65200,3150
0.9264150943396227,56500,3000
0.9326673973694699,33200,2200
0.9371980676328503,37200,2100
0.9470588235294117,42800,2000
0.9407780121034293,36500,2100
0.9453019639841793,41950,2200
0.9413593842510362,46600,2600
0.9572006797259687,74750,3000
0.943943943943944,90700,5400
0.9496810772501771,123100,6100
0.9578163771712159,163400,6800
0.9617728531855956,189600,6800
0.9614427860696517,189200,7000
0.9555882340049704,72800,3000
0.9514415781487102,56400,2400
0.94918374703883,55450,2700
0.9528863093652595,46850,2000
0.9328859060402684,33400,2000
0.9515445006970431,47400,2000
0.9383033419023136,38200,2200
0.9447368421052632,41400,2100
0.8709693783434791,85050,5700
0.8737238044062332,146400,11100
0.8553663793103448,111950,16300
0.8759357220087549,165250,21600
0.9121813031161473,251800,22800
0.9635528093683143,276150,10200
0.9116356644322394,232500,30900
0.8538461538461538,285800,39200
0.8748025276461295,230900,31000
0.8875082484854638,249300,20900
0.9207873523994363,232950,14300
0.7893030794165316,156000,19800
0.9710610002891009,57100,1300
0.9192733789507983,30350,2100
0.9553571428571429,48600,2200
0.9635416666666666,65200,2400
0.9578059071729957,53800,2200
0.9535353535353536,49500,2200
0.9633027267668337,76450,2800
0.9524142524142524,85850,3600
0.9562759078473428,142000,5800
0.9287443933283177,198600,12700
0.9182472666283406,148100,11800
0.909967845659164,152400,13200
0.9002313581399708,151400,15900
0.9255418754219522,133950,9500
0.928222709429352,125500,9000
-1.0,0,0
0.9264761904761905,225000,8800
0.9560693641618497,81200,3300
0.9703590093160646,96600,2600
0.957591508712968,188800,5000
0.973821974884312,149500,3550
0.951672490354517,71750,2700
0.9525773195876288,56700,2300
0.9572784810126582,66700,2700
0.9072623029144768,26750,1900
0.15966386554621848,135000,47100
0.956664544713538,528850,28000
0.9655377302436126,205000,5800
-1.0,0,0
